Area,Type,Name,Address,Phone Number,URL
West Ashley,Zah,Marios,"1300  Savannah Hwh #4 Charleston, SC 29407",843-766-2049,https://www.mariositaliangrillpizza.com/
West Ashley,Zah,Slice Pizza Co.,"1662 Savannah Hwy #202  Charleston, SC  29407 ",843-343-5827,https://www.slicecompany.com
West Ashley,Zah,Baronis,"1975 Magwood Dr Charleston, SC 29407",843-573-0100,https://www.baronispizza.com
West Ashley,Zah,Andolini’s,"1940 Sam Rittenburg Rd. Charleston, SC 29407",843-225-4743,https://west.ashley.andolinis.com
West Ashley,Zah,Famularia,"2408 Ashley River Rd. Charleston, SC 29414",843-571-0555,https://www.famularias.com
West Ashley,Zah,Paisano’s Pizza Grill,"1798 Ashley River Rd. Charleston, SC  29407",843-818-4969,https://paisanoschas.com/
North Charleston,Zah,Evo’s Pizzeria,"1075 E. Montague Ave. North Charleston, SC 29405",843-225-1796,https://evopizza.com/
North Charleston,Zah,Park Pizza Co.,"1028 E. Montague Ave. North Charleston, SC 29405",843-225-7275,https://parkpizzaparkcircle.com/
Downtown,Zah,Pizzeria Di Giovanni,"40 N. Market St. Charleston, SC 29401",843-727-6767,https://www.pizzeriadigiovanni.net/
Downtown,Zah,Renzo Wood Fired Pizza,"384 Hunger St ##4126 Charleston, SC 29403",843-259-2760,https://www.renzochs.com/
Downtown,Zah,Melfi’s,"721 Kings St. Charleston, SC 29403",843-513-0307,https://eatatmelfis.com/
Downtown,Zah,D’Allesandro’s Pizza,"229 St. Phillip St. Charleston, SC 29401",843-853-6337,https://eatatmelfis.com/
Downtown,Zah,Frannie and the Fox,"181 Church St., Charleston  29401",843-414-1673,https://hotelemeline.com/frannie-and-the-fox
Downtown,Zah,Benny Ravello\s,"520 Kings St, Charleston 29403",843-414-7143,https://www.bennysva.com/locations/benny-ravellos/
Downtown,Zah,Sabatinos Authentic New York City Pizza,"151 Calhoun St, Charleston 29401",843-577-8861,https://www.sabatinospizzalv.com/
Downtown,Zah,Baker and Brewer,"94 Stuart St, Charleston  29403",843-297-8233,https://www.bakerandbrewer.com/
James Island,Zah,Famulari’s Pizzeria,"1291 Folly Rd Charleston, SC  29492",843-972-8001,https://www.famularias.com
James Island,Zah,Crust Wood Fired Pizza,"1956 Maybank Hwy #B Charleston, SC 29412",843-762-5500,https://www.crustwoodfiredpizza.com/
James Island,Zah,Paisano’s Pizza Grill,"1246 Camp Rd Charleston, SC 29412",843-762-1135,https://paisanoschas.com/
Mt. Pleasant,Zah,La Pizzeria,"9876 Houston Northcutt Blvd Mt. Pleasant, SC 29464",843-375-4607,http://www.mtplapizzeria.com/
Mt. Pleasant,Zah,The Obstinate Daughter,"2063 Middle St. Sullivans Island, SC 29482",843-416-5020,https://www.theobstinatedaughter.com/
Mt. Pleasant,Zah,Paisano’s Pizza Grill,"1151 Queensborough Blvd Ste  100 Mt. Pleasant, SC 29464",843-972-8853,https://paisanoschas.com/
Daniel Island,Zah,Vespa Pizzeria,"224 Seven Farms Dr.  #101 Daniel Island, SC  29492",843-881-0101,https://vespapizzeria.com/
Daniel Island,Zah,Orlando’s Brick Oven Pizza,"295 Seven Farms Dr Daniel Island, SC 29292",843-884-6292,https://orlandospizza.com/
